24
34
01 small yellow circle  495.59 336.59 
02 small yellow cross  40.32 913.32 
03 large blue circle  723.56 940.56 
04 small red square  720.54 680.54 
05 large blue triangle  678.85 265.85 
06 large red square  120.38 193.38 
07 medium purple cross  383.62 1064.62 
08 medium blue square  497.07 692.07 
09 medium yellow circle  492.17 867.17 
10 medium red square  1320.07 1135.07 
11 small blue square  1548.54 841.54 
12 medium blue cross  1044.62 261.62 
13 small purple triangle  783.24 387.24 
14 medium green circle  569.17 405.17 
15 large red semi-circle  1478.26 133.26 
16 large yellow triangle  863.85 1070.85 
17 large purple circle  1219.56 912.56 
18 small purple cross  1522.32 273.32 
19 medium blue semi-circle  799.14 104.14 
20 large green cross  945.10 364.10 
21 small green triangle  62.24 792.24 
22 large purple triangle  154.85 598.85 
23 small yellow triangle  49.24 47.24 
24 small green square  663.54 103.54 
25 medium blue circle  583.17 546.17 
26 medium purple triangle  1507.47 1119.47 
27 small green semi-circle  245.08 964.08 
28 large red circle  369.56 896.56 
29 medium yellow cross  57.62 350.62 
30 large yellow circle  1151.56 537.56 
31 medium green square  913.07 836.07 
32 small green circle  846.59 292.59 
33 medium red semi-circle  1180.14 1106.14 
34 small yellow square  1278.54 814.54 
35 medium yellow square  692.07 568.07 
36 medium red cross  1279.62 403.62 
37 large green triangle  1073.85 728.85 
38 large yellow square  956.38 97.38 
39 small blue semi-circle  665.08 438.08 
40 small red cross  48.32 705.32 
41 large red triangle  592.85 1075.85 
42 large blue cross  238.10 360.10 
43 large green circle  1348.56 256.56 
44 medium blue triangle  302.47 82.47 
45 small purple circle  1093.59 871.59 
46 large blue semi-circle  1153.26 124.26 
47 small purple semi-circle  184.08 59.08 
48 small green cross  382.32 216.32 
49 small blue circle  1313.59 91.59 
50 medium green semi-circle  333.14 719.14 
51 medium green cross  1106.62 380.62 
52 medium purple semi-circle  895.14 684.14 
53 medium red triangle  1251.47 676.47 
54 large purple cross  629.10 789.10 
55 medium purple circle  392.17 312.17 
56 large yellow semi-circle  1412.26 741.26 
57 medium green triangle  1530.47 604.47 
58 large green square  209.38 819.38 
59 small blue triangle  1004.24 1136.24 
60 small blue cross  443.32 987.32 
61 small purple square  595.54 911.54 
62 medium red circle  818.17 498.17 
63 large green semi-circle  1438.26 960.26 
64 large red cross  102.10 1041.10 
65 large purple square  1482.38 440.38 
66 medium yellow semi-circle  1366.14 565.14 
67 small red circle  525.59 252.59 
68 medium yellow triangle  231.47 1134.47 
69 small yellow semi-circle  776.08 820.08 
70 large purple semi-circle  390.26 528.26 
71 large blue square  485.38 85.38 
72 small red semi-circle  1173.08 295.08 
73 medium purple square  999.07 534.07 
74 large yellow cross  1059.10 987.10 
75 small red triangle  1298.24 1022.24 

25
66
01 large yellow square  407.38 284.38 
02 small green triangle  1556.24 268.24 
03 small red square  338.54 128.54 
04 small green cross  282.32 71.32 
05 large red semi-circle  217.26 816.26 
06 medium blue circle  1152.17 282.17 
07 small green circle  81.59 107.59 
08 large green cross  1459.10 392.10 
09 medium yellow cross  1254.62 535.62 
10 medium yellow triangle  1300.47 418.47 
11 large purple square  640.38 535.38 
12 medium green triangle  1006.47 581.47 
13 medium red cross  258.62 626.62 
14 large blue semi-circle  988.26 758.26 
15 medium purple semi-circle  1255.14 675.14 
16 small blue semi-circle  54.08 185.08 
17 large green circle  653.56 942.56 
18 small yellow semi-circle  269.08 1159.08 
19 small blue triangle  1116.24 625.24 
20 large purple cross  1112.10 467.10 
21 small blue cross  53.32 300.32 
22 medium red triangle  856.47 610.47 
23 large blue circle  139.56 1031.56 
24 medium blue semi-circle  1322.14 278.14 
25 large yellow circle  469.56 1076.56 
26 medium green square  104.07 642.07 
27 medium yellow semi-circle  1406.14 562.14 
28 small red circle  972.59 912.59 
29 small purple semi-circle  90.08 1141.08 
30 large blue triangle  1438.85 148.85 
31 medium blue triangle  831.47 1135.47 
32 small red cross  556.32 266.32 
33 small purple circle  200.59 49.59 
34 small blue circle  816.59 304.59 
35 medium red semi-circle  887.14 469.14 
36 small red triangle  762.24 242.24 
37 medium yellow circle  287.17 1048.17 
38 small yellow square  644.54 288.54 
39 small purple square  252.54 526.54 
40 medium purple cross  652.62 712.62 
41 small green semi-circle  1029.08 305.08 
42 large green triangle  214.85 207.85 
43 medium red square  538.07 375.07 
44 small yellow triangle  1343.24 1134.24 
45 large yellow triangle  897.85 155.85 
46 medium green circle  396.17 719.17 
47 medium red circle  490.17 638.17 
48 medium green semi-circle  1238.14 126.14 
49 small red semi-circle  1518.08 513.08 
50 large yellow cross  1207.10 1080.10 
51 large green square  1446.38 1039.38 
52 large purple semi-circle  652.26 129.26 
53 large red cross  529.10 789.10 
54 large purple circle  732.56 395.56 
55 small blue square  1564.54 840.54 
56 small green square  1294.54 947.54 
57 large yellow semi-circle  1391.26 820.26 
58 medium purple square  70.07 895.07 
59 small purple triangle  755.24 712.24 
60 large green semi-circle  390.26 482.26 
61 small yellow cross  1539.32 919.32 
62 medium purple triangle  1535.47 642.47 
63 medium blue square  761.07 861.07 
64 large red triangle  1159.85 884.85 
65 small yellow circle  522.59 972.59 
66 large blue square  1085.38 88.38 
67 medium blue cross  443.62 108.62 
68 large red square  999.38 1043.38 
69 large blue cross  678.10 1109.10 
70 small purple cross  1564.32 1103.32 
71 medium green cross  804.62 975.62 
72 medium purple circle  936.17 355.17 
73 large red circle  362.56 933.56 
74 medium yellow square  256.07 367.07 
75 large purple triangle  113.85 467.85 

26
54
01 large green triangle  528.85 355.85 
02 large purple semi-circle  205.26 621.26 
03 large green square  956.38 120.38 
04 small green square  60.54 535.54 
05 large red triangle  1041.85 1087.85 
06 medium blue circle  1164.17 327.17 
07 large purple cross  726.10 377.10 
08 small red square  677.54 1066.54 
09 medium blue square  1518.07 1104.07 
10 small purple triangle  53.24 622.24 
11 large yellow cross  1297.10 728.10 
12 medium purple square  1465.07 427.07 
13 medium blue triangle  145.47 144.47 
14 medium purple circle  803.17 55.17 
15 large blue semi-circle  1078.26 847.26 
16 small purple cross  44.32 392.32 
17 large purple triangle  1159.85 511.85 
18 small green circle  1386.59 813.59 
19 medium green semi-circle  306.14 781.14 
20 small yellow triangle  1559.24 359.24 
21 small red semi-circle  859.08 309.08 
22 large red cross  327.10 107.10 
23 small purple square  1111.54 661.54 
24 small yellow semi-circle  1070.08 265.08 
25 medium green triangle  474.47 152.47 
26 small green cross  431.32 790.32 
27 medium green cross  821.62 192.62 
28 small blue square  933.54 928.54 
29 medium green square  170.07 438.07 
30 small blue cross  70.32 1146.32 
31 small yellow circle  1342.59 609.59 
32 medium red cross  687.62 52.62 
33 small red triangle  547.24 44.24 
34 large blue cross  658.10 193.10 
35 small red circle  661.59 973.59 
36 medium red square  846.07 496.07 
37 medium purple cross  123.62 836.62 
38 medium yellow circle  162.17 1106.17 
39 small red cross  1422.32 675.32 
40 large yellow circle  1326.56 390.56 
41 large yellow semi-circle  953.26 633.26 
42 medium red triangle  321.47 482.47 
43 large blue square  1503.38 236.38 
44 medium green circle  518.17 1066.17 
45 small blue triangle  580.24 513.24 
46 small green semi-circle  1311.08 509.08 
47 medium red semi-circle  379.14 1109.14 
48 medium yellow square  1233.07 1074.07 
49 small purple semi-circle  421.08 900.08 
50 medium yellow cross  1330.62 235.62 
51 large red semi-circle  985.26 395.26 
52 small blue semi-circle  1496.08 761.08 
53 small blue circle  1419.59 1066.59 
54 large yellow square  1473.38 918.38 
55 large red square  304.38 295.38 
56 large blue triangle  467.85 618.85 
57 small green triangle  578.24 1141.24 
58 large green circle  117.56 301.56 
59 medium red circle  1341.17 1152.17 
60 large blue circle  880.56 800.56 
61 small yellow square  818.54 903.54 
62 medium purple semi-circle  1464.14 565.14 
63 large red circle  1258.56 930.56 
64 medium yellow semi-circle  88.14 966.14 
65 small purple circle  1546.59 688.59 
66 medium blue semi-circle  1459.14 83.14 
67 large purple circle  294.56 945.56 
68 large yellow triangle  676.85 639.85 
69 medium purple triangle  704.47 876.47 
70 large green semi-circle  823.26 1049.26 
71 small yellow cross  59.32 729.32 
72 large purple square  1163.38 158.38 
73 medium yellow triangle  1299.47 74.47 
74 medium blue cross  555.62 758.62 
75 large green cross  552.10 901.10 

27
7
01 large red square  110.38 479.38 
02 large yellow semi-circle  967.26 290.26 
03 small red circle  1310.59 79.59 
04 medium green square  557.07 757.07 
05 large red semi-circle  1447.26 154.26 
06 medium yellow cross  495.62 389.62 
07 large purple triangle  1015.85 1080.85 
08 small purple circle  572.59 654.59 
09 large green circle  327.56 341.56 
10 medium yellow circle  616.17 83.17 
11 medium blue semi-circle  180.14 284.14 
12 small green cross  1565.32 1074.32 
13 small red triangle  718.24 1146.24 
14 large red circle  972.56 838.56 
15 small yellow square  37.54 614.54 
16 medium blue triangle  1409.47 1119.47 
17 small red semi-circle  738.08 648.08 
